Derivation file for run '../SpanishCFR/SpanishRun'; etymon number :1040:
#t̪ˌert̪iˈɑːrium# >>> #t̪ˌerθˈɯrxu# ( GOLD : #t̪eɾθˈeɾo#) :
t̪ ˌe r t̪ i ˈɑː r i u m 
#t̪ˌert̪iˈɑːriu# | 25 : [+nas] > ∅ / [-stres] __ #
#t̪ˌert̪jˈɑːrju# | 39 : [+syl,-prim,-lo,+hi] > [-syl,-long,0stres,0prim,-splng] / __ [+syl]
#t̪ˌɛrt̪jˈɑːrju# | 42 : [+syl,-long,+stres,-hi,-lo] > [-tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɛrt̪jˈɑːrjo# | 43 : [+syl,-long] > [-hi] 
#t̪ˌɛrt̪jˈɑrjo# | 44 : [+syl,+long] > [-long,-splng] 
#t̪ˌɛɾt̪jˈɑrjo# | 46 : r > ɾ / __ [+cons]
#t̪ˌɛɾt͡ʃjˈɑrjo# | 62 : {t̪;d̪;t̪ʰ;k;ɡ;kʰ} > {t͡ʃ;d͡ʒ;t͡ʃ;t͡ʃ;d͡ʒ;t͡ʃ} / __ j
#t̪ˌɛrt͡ʃjˈɑrjo# | 81 : [+cons,-cont,+voi] > [+cont,0delrel] 
#t̪ˌɛrt͡sjˈɑrjo# | 87 : {t͡ʃ;d͡ʒ} > {t͡s;d͡z} 
#t̪ˌɛrt͡sjˈɯrju# | 94 : [+syl,+back] > [+hi,-lo] / [+front,+hi,-cons,-syl,-back] __ 
#t̪ˌert͡sjˈɯrju# | 97 : [+syl,-tense] > [+tense,-cons,-lat,+cont,0delrel] / __ ( @ ) ( @ ) [+hi,+front]
#t̪ˌert͡sʝˈɯrʝu# | 107 : [-cons,-syl,+hi] > [+cons,-son,0tense] / __ [+syl]
#t̪ˌert͡sʝˈɯrʒu# | 113 : ʝ > ʒ / [-syl] __ [+round]
#t̪ˌert͡sçˈɯrʒu# | 122 : [-son] > [-voi] / [-voi] __ 
#t̪ˌert͡sˈɯrʒu# | 149 : [-son] > ∅ / [+delrel] __ 
#t̪ˌersˈɯrʒu# | 163 : [+strid,+ant] > [+cont,0delrel] 
#t̪ˌersˈɯrʃu# | 164 : [+strid] > [-voi] 
#t̪ˌersˈɯrxu# | 166 : ʃ > x 
#t̪ˌerθˈɯrxu# | 167 : s > θ / __ [-cons]
Final form : #t̪ˌerθˈɯrxu#
